partner_id,partner_name,city,vehicle_type,experience_years,rating
PART0123,Devansh Sastry,Bengaluru,Bike,3,4.1
PART0124,Aarna Majumdar,Kolkata,Bike,4,3.6
PART0125,Warda Datta,Pune,Bike,0,4.2
PART0126,Owen Din,Delhi,Cycle,4,4.0
PART0127,Viraj Contractor,Hyderabad,Scooter,2,4.1
PART0128,Qarin Toor,Chennai,Bike,1,5.0
PART0129,Edhitha Barman,Mumbai,Cycle,4,3.9
PART0130,Darsh Lad,Pune,Scooter,4,3.6
PART0131,Amol Pandit,Mumbai,Cycle,3,4.9
PART0132,Wahab Palla,Pune,Cycle,0,3.5
PART0133,Faras Tripathi,Kolkata,Scooter,1,4.0
PART0134,Isaiah Vaidya,Delhi,Bike,1,4.3
PART0135,Warjas Jani,Chennai,Cycle,0,3.9
PART0136,Kamya Sagar,Mumbai,Cycle,4,4.6
PART0137,Pooja Mandal,Delhi,Scooter,0,4.9
PART0138,Aryan Narain,Mumbai,Cycle,3,4.9
PART0139,Gautami Reddy,Pune,Cycle,0,3.7
PART0140,Upma Menon,Jaipur,Cycle,1,4.5
PART0141,Naveen Pillay,Kolkata,Scooter,2,4.7
PART0142,Bina Doctor,Hyderabad,Bike,0,3.5
PART0143,Hitesh Kakar,Hyderabad,Cycle,4,4.8
PART0144,Yasti Trivedi,Delhi,Cycle,3,3.6
PART0145,Tanveer Radhakrishnan,Kolkata,Cycle,1,4.1
PART0146,Mason Raj,Kolkata,Cycle,1,3.7
PART0147,Faras Kapur,Mumbai,Cycle,2,4.0
PART0148,Jairaj Wable,Chennai,Scooter,0,3.9
PART0149,Urmi Vohra,Mumbai,Cycle,0,3.8
PART0150,Edhitha Luthra,Delhi,Bike,5,3.9
